task_id,family_id,label,mean_rating,std_rating,n_valid_repeats,mean_char_count,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_A,F01,ambiguous,7.0,0.0,3,2661.3333333333335,8,,,0.00767780817812028,0.030500115421750466
F01_N,F01,nonroutine,7.0,0.0,3,2171.0,8,2.5721286297161554,0.9290461421400199,0.9162340885134622,0.027781348017521208
F01_R,F01,routine,4.0,0.0,3,1699.6666666666667,8,-4.0555739799484485,0.017030470839040118,0.0033317516123771355,0.011238616076586343
F02_A,F02,ambiguous,4.0,0.0,3,2279.6666666666665,8,,,0.2899328196793128,0.7079836859786877
F02_N,F02,nonroutine,4.0,0.0,3,2343.6666666666665,8,1.6542210887100215,0.839460726855931,0.20848204327450248,0.7682873148154606
F02_R,F02,routine,4.0,0.0,3,1950.6666666666667,8,-4.389174563324115,0.012258825553310884,0.005637249617657531,0.0043500889806188155
F03_A,F03,ambiguous,4.0,0.0,3,185.0,8,,,0.1260579973608157,0.45150112378320323
F03_N,F03,nonroutine,5.0,0.0,3,151.33333333333334,8,1.2564651390745276,0.7784170010174912,0.6056718050192651,0.3574722712897663
F03_R,F03,routine,4.0,0.0,3,177.33333333333334,8,-3.6218562281138915,0.026036961550527784,0.011934901896443884,0.28717734044407095
F04_A,F04,ambiguous,4.0,0.0,3,177.0,8,,,0.11366858398019648,0.5879337433705302
F04_N,F04,nonroutine,4.0,0.0,3,142.33333333333334,8,3.1483190466219804,0.958842436437695,0.7344756745995896,0.25837453066715355
F04_R,F04,routine,4.0,0.0,3,166.66666666666666,8,-1.6404510473127978,0.16240369784142783,0.05010518608969941,0.43176564910753473
F05_A,F05,ambiguous,4.0,0.0,3,277.0,8,,,0.009643547911334099,0.5986058618753045
F05_N,F05,nonroutine,5.0,0.0,3,224.0,8,1.2227118768491374,0.7725404372378725,0.30079620722350553,0.6437365647863312
F05_R,F05,routine,4.0,0.0,3,348.0,8,-3.844533347231541,0.020948168850603233,0.003425154477752861,0.15085057577632696
F06_A,F06,ambiguous,4.0,0.0,3,383.6666666666667,8,,,0.3729462456537285,0.48617249007446023
